2024-08-31 23:28:45.157 +08:00 [INF] Main (StartedAsync) | No emails need to be sent.
2024-08-31 23:28:55.158 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-31 23:28:55.158 +08:00 [INF] Main (StartedAsync) |         Retrieve Send Email List.
2024-08-31 23:28:55.158 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-31 23:28:55.160 +08:00 [INF] Main (StartedAsync) | No emails need to be sent.
2024-08-31 23:29:05.163 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-31 23:29:05.163 +08:00 [INF] Main (StartedAsync) |         Retrieve Send Email List.
2024-08-31 23:29:05.163 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-31 23:29:05.166 +08:00 [INF] Main (StartedAsync) | No emails need to be sent.
2024-08-31 23:29:15.167 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-31 23:29:15.167 +08:00 [INF] Main (StartedAsync) |         Retrieve Send Email List.
2024-08-31 23:29:15.167 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-31 23:29:15.170 +08:00 [INF] Main (StartedAsync) | No emails need to be sent.
2024-08-31 23:29:25.183 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-31 23:29:25.183 +08:00 [INF] Main (StartedAsync) |         Retrieve Send Email List.
2024-08-31 23:29:25.183 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-31 23:29:25.187 +08:00 [INF] Main (StartedAsync) | No emails need to be sent.
2024-08-31 23:29:35.189 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-31 23:29:35.189 +08:00 [INF] Main (StartedAsync) |         Retrieve Send Email List.
2024-08-31 23:29:35.189 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-31 23:29:35.192 +08:00 [INF] Main (StartedAsync) | No emails need to be sent.
2024-08-31 23:29:45.198 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-31 23:29:45.198 +08:00 [INF] Main (StartedAsync) |         Retrieve System Config.
2024-08-31 23:29:45.198 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-31 23:29:45.199 +08:00 [INF] Main (StartedAsync) | Send Email Function: Enabled, Interval Every 10 Secs
2024-08-31 23:29:45.199 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-31 23:29:45.199 +08:00 [INF] Main (StartedAsync) |         Retrieve Send Email List.
2024-08-31 23:29:45.199 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-31 23:29:45.201 +08:00 [INF] Main (StartedAsync) | No emails need to be sent.
2024-08-31 23:29:55.199 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-31 23:29:55.199 +08:00 [INF] Main (StartedAsync) |         Retrieve Send Email List.
2024-08-31 23:29:55.199 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-31 23:29:55.203 +08:00 [INF] Main (StartedAsync) | No emails need to be sent.
2024-08-31 23:30:05.200 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-31 23:30:05.200 +08:00 [INF] Main (StartedAsync) |         Retrieve Send Email List.
2024-08-31 23:30:05.200 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-31 23:30:05.203 +08:00 [INF] Main (StartedAsync) | No emails need to be sent.
2024-08-31 23:30:15.206 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-31 23:30:15.206 +08:00 [INF] Main (StartedAsync) |         Retrieve Send Email List.
2024-08-31 23:30:15.206 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
