2024-08-28 22:08:15.258 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-28 22:08:15.260 +08:00 [INF] Main (StartedAsync) | Send Email Function: Enabled, Interval Every 10 Secs
2024-08-28 22:08:15.260 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-28 22:08:15.260 +08:00 [INF] Main (StartedAsync) |         Retrieve Send Email List.
2024-08-28 22:08:15.260 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-28 22:08:15.263 +08:00 [INF] Main (StartedAsync) | No emails need to be sent.
2024-08-28 22:08:25.270 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-28 22:08:25.270 +08:00 [INF] Main (StartedAsync) |         Retrieve Send Email List.
2024-08-28 22:08:25.270 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-28 22:08:25.273 +08:00 [INF] Main (StartedAsync) | No emails need to be sent.
2024-08-28 22:08:35.278 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-28 22:08:35.278 +08:00 [INF] Main (StartedAsync) |         Retrieve Send Email List.
2024-08-28 22:08:35.278 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-28 22:08:35.281 +08:00 [INF] Main (StartedAsync) | No emails need to be sent.
2024-08-28 22:08:45.295 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-28 22:08:45.295 +08:00 [INF] Main (StartedAsync) |         Retrieve Send Email List.
2024-08-28 22:08:45.295 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-28 22:08:45.298 +08:00 [INF] Main (StartedAsync) | No emails need to be sent.
2024-08-28 22:08:55.305 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-28 22:08:55.305 +08:00 [INF] Main (StartedAsync) |         Retrieve Send Email List.
2024-08-28 22:08:55.305 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-28 22:08:55.308 +08:00 [INF] Main (StartedAsync) | No emails need to be sent.
2024-08-28 22:09:05.313 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-28 22:09:05.314 +08:00 [INF] Main (StartedAsync) |         Retrieve Send Email List.
2024-08-28 22:09:05.314 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-28 22:09:05.317 +08:00 [INF] Main (StartedAsync) | No emails need to be sent.
2024-08-28 22:09:15.323 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-28 22:09:15.324 +08:00 [INF] Main (StartedAsync) |         Retrieve System Config.
2024-08-28 22:09:15.324 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-28 22:09:15.325 +08:00 [INF] Main (StartedAsync) | Send Email Function: Enabled, Interval Every 10 Secs
2024-08-28 22:09:15.325 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-28 22:09:15.325 +08:00 [INF] Main (StartedAsync) |         Retrieve Send Email List.
2024-08-28 22:09:15.325 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-28 22:09:15.328 +08:00 [INF] Main (StartedAsync) | No emails need to be sent.
2024-08-28 22:09:25.334 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-28 22:09:25.334 +08:00 [INF] Main (StartedAsync) |         Retrieve Send Email List.
2024-08-28 22:09:25.334 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-28 22:09:25.337 +08:00 [INF] Main (StartedAsync) | No emails need to be sent.
2024-08-28 22:09:35.342 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-28 22:09:35.342 +08:00 [INF] Main (StartedAsync) |         Retrieve Send Email List.
2024-08-28 22:09:35.342 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-28 22:09:35.345 +08:00 [INF] Main (StartedAsync) | No emails need to be sent.
2024-08-28 22:09:45.352 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-28 22:09:45.352 +08:00 [INF] Main (StartedAsync) |         Retrieve Send Email List.
2024-08-28 22:09:45.352 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-28 22:09:45.355 +08:00 [INF] Main (StartedAsync) | No emails need to be sent.
2024-08-28 22:09:55.369 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-28 22:09:55.369 +08:00 [INF] Main (StartedAsync) |         Retrieve Send Email List.
2024-08-28 22:09:55.369 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-28 22:09:55.371 +08:00 [INF] Main (StartedAsync) | No emails need to be sent.
2024-08-28 22:10:05.380 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-28 22:10:05.380 +08:00 [INF] Main (StartedAsync) |         Retrieve Send Email List.
2024-08-28 22:10:05.380 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-28 22:10:05.383 +08:00 [INF] Main (StartedAsync) | No emails need to be sent.
2024-08-28 22:10:15.383 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-28 22:10:15.383 +08:00 [INF] Main (StartedAsync) |         Retrieve System Config.
2024-08-28 22:10:15.383 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-28 22:10:15.384 +08:00 [INF] Main (StartedAsync) | Send Email Function: Enabled, Interval Every 10 Secs
2024-08-28 22:10:15.384 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-28 22:10:15.384 +08:00 [INF] Main (StartedAsync) |         Retrieve Send Email List.
2024-08-28 22:10:15.384 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-28 22:10:15.389 +08:00 [INF] Main (StartedAsync) | No emails need to be sent.
2024-08-28 22:10:25.403 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-28 22:10:25.403 +08:00 [INF] Main (StartedAsync) |         Retrieve Send Email List.
2024-08-28 22:10:25.403 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-28 22:10:25.406 +08:00 [INF] Main (StartedAsync) | No emails need to be sent.
2024-08-28 22:10:35.411 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-28 22:10:35.411 +08:00 [INF] Main (StartedAsync) |         Retrieve Send Email List.
2024-08-28 22:10:35.411 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-28 22:10:35.414 +08:00 [INF] Main (StartedAsync) | No emails need to be sent.
2024-08-28 22:10:45.426 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-28 22:10:45.426 +08:00 [INF] Main (StartedAsync) |         Retrieve Send Email List.
2024-08-28 22:10:45.426 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-28 22:10:45.429 +08:00 [INF] Main (StartedAsync) | No emails need to be sent.
2024-08-28 22:10:55.436 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-28 22:10:55.436 +08:00 [INF] Main (StartedAsync) |         Retrieve Send Email List.
2024-08-28 22:10:55.436 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-28 22:10:55.439 +08:00 [INF] Main (StartedAsync) | No emails need to be sent.
2024-08-28 22:11:05.448 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-28 22:11:05.448 +08:00 [INF] Main (StartedAsync) |         Retrieve Send Email List.
